condition,brand,year,address,price,image
D,Mitsubishi,2017,"Liberte 6,
                                                                                Dakar",16000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1dda79068168a76cbac98002bdb06fc2/-/horizon-files-prod/ed/picture/qzvp6qxq/944f5816c2ab265f4df64442d1decc4b6bde5baa.jpg
D,Ford,2013,"Nord foire,
                                                                                Dakar",4600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/22b6950b8b14d7d8940f53a4fd6b1933/-/horizon-files-prod/ed/picture/q6xd4rwj/7308a68bf1cae3f2de8880562848869e6112b579.jpg
D,Seat,2011,"Pikine,
                                                                                Dakar",3600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/42663a00fde39e809f93878009c6c556/-/horizon-files-prod/ed/picture/qkr8vxn5/7c1baee746c208a123a19a050d2fa7ebf7a890b9.jpg
Venant,Ford,2016,"Liberte 6,
                                                                                Dakar",18000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56535a699a2d0936ef2063b4631b4b4e/-/horizon-files-prod/ed/picture/qv4w5k05/62165c44ffba0ea8bfee8676989e041cadd1545e.jpg
D,Hyundai,2017,"Cambérène,
                                                                                Dakar",10500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f1651cd9b56bb4948a41d3d4ab238d6/-/horizon-files-prod/ed/picture/qngpnjkv/9e290f25eedfebd37dd7fde9afa46a2c68ccfcdd.jpg
D,Range,Rover,"Nord foire,
                                                                                Dakar",14000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/00e8a027da49b066d0249ea86bfd997d/-/horizon-files-prod/ed/picture/qenv28mv/20fbe61e1fc1748fac70465375930a5b070bca28.jpg
Venant,Mercedes,Benz,"Autres,
                                                                                Autres",40000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69f39bddf46fce221dd334cfd48dda2c/-/horizon-files-prod/ed/picture/qenv594j/802300c07603b727ab6610a9ccb4657816e4b818.jpg
Venant,Mitsubishi,2016,"Ouest foire,
                                                                                Dakar",8300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1305e8827245c691dc8078f5497b4b89/-/horizon-files-prod/ed/picture/q2j07gr6/4a9c4c2740da2a09d00f3440cbfcfd096718c644.jpg
Venant,Hyundai,2019,"Ouakam,
                                                                                Dakar",9500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/276b990f282e5ab3981087544044a70a/-/horizon-files-prod/ed/picture/qgqwjd00/147875b232010770cb71e8f3c127f195a7c41d47.jpg
D,Ford,2015,"Liberte 6 extension,
                                                                                Dakar",4250000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a013bd593ce359bbd3f3ec20d18f6bd3/-/horizon-files-prod/ed/picture/q78w9q6e/c7e7ec642ad04afba536c44f18c3d62e50d8780f.jpg
Venant,Ford,2016,"Cite Mixta,
                                                                                Dakar",5200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c8db199ab84a85e5b38edaf658f3361/-/horizon-files-prod/ed/picture/qxjpxnn0/e5a75d7c5b3ee21342fe26fd2f8282798932a444.jpg
D,Peugeot,2013,"Mbao,
                                                                                Dakar",4300 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/863f6bd843f5a5d81dbb3ee547665552/-/horizon-files-prod/ed/picture/q56d5j7p/ea14cc1b9e4e1e779995cc9bf4dbff3024702448.jpg
D,Peugeot,2014,"Hann maristes,
                                                                                Dakar",3400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7f603ff5dc6ccdf838c8f46dc5bd213/-/horizon-files-prod/ed/picture/qv4w5kqm/6db9f9c29c86e64f8f712dd5d3295adb20725310.jpg
D,Hyundai,2016,"Cité Damel,
                                                                                Dakar",7500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c61b170f5b916122c823db869b7eaa24/-/horizon-files-prod/ed/picture/qv4wmp6w/00199a8b37d144f1491671c4fc0baf927df6f591.jpg
Venant,Renault,2016,"Sicap foire,
                                                                                Dakar",12500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3a9030859fed8d20b8caa3e9b26e9c3e/-/horizon-files-prod/ed/picture/qkr8vx2v/8a9d51fd9656deb4d7206e1ee094c2df6bd9c038.jpg
Venant,Range,Rover,"Sicap foire,
                                                                                Dakar",26000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7bc79b5a67649ed437486bc45909b4bf/-/horizon-files-prod/ed/picture/q8v4x9np/81e5864a03e9b088d83cfde351804c118aaffde0.jpg
Venant,Jeep,2013,"Yoff,
                                                                                Dakar",7500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f1e218d28c341f81ba7f0e3139f1c1d6/-/horizon-files-prod/ed/picture/q78wr0gn/3a5dac34e8191f3bf6fc3d47d013faadadc8f372.jpg
D,Ford,2018,"VDN,
                                                                                Dakar",3950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d87efc474a3a7fe65f823a85b2042ce/-/horizon-files-prod/ed/picture/qgqwjm0n/a2c02d79e9cf0220d150872989e41303782bdca1.jpg
Venant,Nissan,2014,"VDN,
                                                                                Dakar",0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/118772ac8981e7e7fbdc6964accaad18/-/horizon-files-prod/ed/picture/qrz8j0wx/ba881b59910c6092b4e5e4b30356d16aaf593fb7.jpg
Venant,Peugeot,2016,"VDN,
                                                                                Dakar",5850000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2429e175b8ef5084889f9ed96c8a6fb/-/horizon-files-prod/ed/picture/qenv25p9/e8ae894276166d4db463981e42aeab446c58b0d5.jpg
Venant,Honda,2019,"Parcelles Assainies,
                                                                                Dakar",13000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0b85d84f867bb4cfca676715a083509b/-/horizon-files-prod/ed/picture/q6xd4v5g/da47618da3cdfe8de80822c76d82896c17973565.jpg
Venant,Nissan,2017,"Cité Damel,
                                                                                Dakar",9200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/09cf3e61b76f9d99ccfc71392b76c9a7/-/horizon-files-prod/ed/picture/qzvpeq0r/e14c1c830386f96b5f21e3b930da41501b48f2a1.jpg
